"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22"
4.31820119120631,2.75195927119252,2.88819340202252,4.72910996935883,4.18354875454427,4.42889725057577,2.49458281894792,3.84545688788706,4.33523074275118,2.91265203457077,5.75901510992526,4.12159814803267,3.71050779001943,5.73935232889241,6.39730925084554,3.24914009574478,3.83768736386516,2.44847784983327,1.72915550003683,4.39115462149373,3.92585102154238,5.67880008869379
4.27715021450821,3.26476699881418,2.6894672568088,4.46314658811839,4.41129486193974,4.51684833520841,2.51954934023873,3.96863064549202,3.86257725836602,2.82920495990071,5.7571430308923,4.4611244460122,3.63242003272544,5.74722071549974,7.08051963044236,3.30249479195956,3.83607116635293,2.83831183181546,1.78350470827487,4.53761143966832,3.85128274190488,5.53683066770875
4.37394673969411,2.45784224901672,3.18682759526337,4.21466300305583,4.24411045774184,4.41523850731812,2.75073242016211,4.03398508957709,3.73840108678931,3.0496039644747,5.70028115283693,4.58143148096666,3.52862163330647,5.73267538046973,7.07022564381443,3.10534984230298,4.25762503466683,2.787041424305,1.80656226759615,4.74259866361146,3.88656401130032,5.61459704346576
4.39208608833621,2.96088909430311,2.6079787540837,4.85105069862087,4.50665305753444,4.39347884270495,2.69845377280938,3.68864660949659,4.06079651152079,3.10496679610902,5.73187582603733,4.4238619438451,3.68396162404635,5.75529614179347,6.5858862853537,3.12449554264162,4.2224452963504,2.60396515340828,1.94462078806541,4.4375100029556,3.85159276751816,5.86849742499183
4.32065380239014,3.30317356121492,2.95553338410569,4.63609041431832,4.61248488075004,4.56028472877005,2.59031364783987,3.77628172368509,4.23045270150475,2.61892850594253,5.73550476890446,4.40665859936722,3.7040027004209,5.66120389620004,6.4045093237311,3.25591001693149,4.33805096177894,2.85857398655553,1.67353088724297,4.65456451016562,3.92897490954439,5.90504988401086
4.27592738659896,3.19886528170229,3.02605183947421,4.21194190400364,4.16883181614376,4.55471845149609,2.8112019978538,3.5541241254711,4.25564408587322,2.77097186638529,5.76482070907938,4.47274404164392,3.73928476777942,5.77526548198486,6.543499819022,3.36253863163253,4.0430310912217,2.71823272764955,1.73047638916247,4.68630019139696,3.93379603213224,5.75705449933226
4.30588895953086,2.6258702088564,2.70542298370281,4.81837216754302,4.15181445651459,4.42192426282821,2.59507364542805,3.80842895864803,4.3089938808514,2.90710329986529,5.75521975207627,4.13965670915976,3.6280117332801,5.81664046940649,6.40279819061693,3.23291193085432,4.27976370948755,2.61041025907156,1.48163838958571,4.82603837190674,3.89298349115271,6.02991277335683
4.28595146234499,2.56630729416942,2.74273048080688,3.97173575506273,4.23985761353092,4.49432099725493,3.01527329430158,3.58795305628765,4.10413149000787,2.66418103965108,5.77677812077571,4.57842312328003,3.6165841187069,5.7973401647561,6.50281689761255,3.30480971702933,4.12924367725126,2.56873412292907,1.62047386419213,4.77459541287518,3.89621032699978,5.67821290155376
4.32988253920534,3.09289126121492,3.02901542207811,4.19792623682623,4.23428848807194,4.57742818904214,2.73722458402082,3.78229346105018,4.09525807803439,3.0404927443129,5.71428505460867,4.05408766299458,3.61770276262101,5.72206206598168,6.74608803624104,3.21032024189157,3.98268377414631,2.63644885898875,1.71579363435325,4.72480907138442,3.86013763515129,5.46502994826524
4.3329624130775,3.07830644016373,3.24705286730723,3.85305053217685,4.06932109884672,4.28704047833893,2.68586283555946,3.68510702967784,3.8437635834773,2.68853636438943,5.75129591722101,4.3926623086114,3.80001052954082,5.92445040596855,6.73684565282025,3.23008011649838,4.1053830255224,2.49245080016059,1.538867705688,4.57494019912926,3.84110903075505,5.93708303022147
4.31842792179799,2.97911553365671,3.14644504518177,4.57661364507133,4.3833857204609,4.42977413534525,2.7891314100059,4.00440616175599,4.08362219282389,2.68060090225228,5.72159505409158,4.41974512596792,3.65296679116812,5.82225794219443,6.9079939555798,3.16333020202973,4.07274206192584,2.6932556857988,1.65375759519196,4.38329129940813,3.89842167500399,5.66679892924143
4.37940951941699,2.84855935661987,2.60737447208618,4.83860568122755,4.20214843627701,4.34060223869534,2.71962809481981,3.530197156919,3.87381027995355,2.97275697661468,5.73907865902358,4.07501746537289,3.59488710498075,5.85309571470191,6.67140065705843,3.27623943574722,4.1456673311974,2.59083884809615,1.63507090709688,4.49418326083069,3.87692232138171,5.79123264037174
4.35146946841962,2.57420245696407,2.83857895873027,3.78384951583967,4.29257477502512,4.47463943928853,3.03139016422326,3.70488801079653,4.10815364584707,3.13064003097834,5.73722156691161,4.18497165932462,3.56877420814978,5.72937884447022,6.82675235297792,3.28358199043446,4.01846785603792,2.52324663101695,1.97755935908584,4.66857343795677,3.84823162261008,5.51722996886156
4.33504243483129,3.14877621846347,2.89459359478659,4.72727744997992,4.36948272523557,4.36800948408112,2.63212853457813,3.89367103449308,3.77852606639324,2.74249512468679,5.77382329906258,4.42315767103138,3.57461360655907,5.86561304984178,6.53713026950185,3.10679265687845,3.83128201453789,2.47922016297093,1.6479761734718,4.54465680955263,3.89746527207462,5.49457796483382
4.31629759937166,2.9351575283027,2.61513905537829,3.71410759795443,4.50255040136925,4.45844367773681,2.93269639297699,3.85636059824308,3.90726548723678,2.70760134195071,5.70037659669569,4.29876533849856,3.68809904035054,5.71841334422351,6.46757903687119,3.09022634067713,4.18566416508676,2.63625868511235,1.69661754042856,4.67574893316484,3.90673583242179,5.8665605580333
4.3258871510893,2.90814478994601,2.71883712527094,3.91216928772526,4.24061153593385,4.52255539434352,2.76841858087863,3.84501938414308,4.05333381101879,2.91244055686944,5.74353093315558,4.42940013993157,3.68361307995848,5.74934895637203,6.62877589362362,3.2332746460197,3.91318508331705,2.62031761108031,1.76050873489939,4.62659870805852,3.89389817191886,5.62157576517915
4.3391681459561,2.76030736032571,2.88982980191883,4.3366806818069,4.32683543115949,4.49522722370422,2.97774750197207,3.98524216654596,4.12857737578667,2.82323079066728,5.72532021942587,4.47889284777303,3.70399376435496,5.81786543725587,7.07481848774128,3.11571932258439,4.05912576185606,2.4373419734751,1.6124833797117,4.81453197003249,3.86121906278058,5.75668263933145
4.40741445553809,2.64670584364169,2.55424484497916,4.42877118239337,4.51136765939515,4.43702368097407,2.594486049436,3.57538912467356,4.2283082048895,2.98477142760666,5.71186142866086,4.62118425255859,3.70287402335138,5.86470308594683,6.39634561509783,3.18168025810454,3.92218687215137,2.71095780972547,1.67055726142799,4.43478005168564,3.89633550328026,6.03049338353962
4.31615250915597,2.69104630277871,2.76427841299125,4.79840393762642,4.59884096034306,4.37683290511412,3.13064617238463,3.66222915634327,4.22053841440598,2.75735440783139,5.75560904055051,4.23781170745365,3.66068846448495,5.80718575543989,6.39741150840042,3.10365025142766,3.96918933715563,2.56081807586731,1.76418839424325,4.47585151102108,3.87273806097572,5.80746003509873
4.41982650797935,3.16605902766706,2.90147208264522,4.19217906063193,4.46078428343757,4.50314549613533,2.43516724653789,3.79964317663851,3.96675734720824,2.81720208500057,5.70042007054365,4.38043840027299,3.76278024028065,5.82892856751285,6.56898091380321,3.0891236623798,4.27742330027028,2.78176668463931,1.56071031387193,4.57258986364999,3.96498059048892,5.75159183189114
