"","ARCA","CAHI","EROD","GITE","GOBE","GOPU","HAOD","HYGL","HYPO","MEDI","PEAI","PEDU","PLDE","POCA","POLE","PTGA","STPA","TRCY","TROR","VECY","VERO","WAAC"
"21",3.00017437862691,2.06084953739947,1.25671875879826,3.46305397386393,2.91092997751388,3.35094531118431,1.73138124853914,3.01290613611829,3.56843232961662,1.964053944851,4.4669869509575,3.14448674769844,2.61365169110869,4.94125676556944,5.38633767061755,1.8440102494842,2.54631464712179,1.71307702307637,1.47898067364372,2.22161971054323,2.25694592559357,4.74745743408479
"22",3.0466604111751,2.17485861748182,1.88796013661592,3.39582658958557,3.00890107373977,3.3525449620004,1.88118081392305,2.58097897463329,3.58499259899371,2.12233694026874,4.42754825575935,3.22671279779763,2.53788764088193,4.82794635338032,5.612134604088,1.81272968742967,2.63379574041577,1.82302213688852,1.75858106666584,2.20706154929672,2.23096845300829,4.76066520854297
"23",3.06684621198847,1.61186143164027,1.8723135453843,2.96148067933376,3.12355093711932,3.4756532210074,1.81618477769973,2.90121899202332,3.74593614603938,1.63440636125059,4.36667899257429,3.42148399137082,2.71632426527662,4.87073065434133,5.60954746507343,1.92632048677298,2.93816032543804,1.83018158527849,1.35417307164296,2.28607035003521,2.24305585471876,4.35485683282995
"24",3.05798661566147,2.19998259294412,1.68240966770231,2.91088273375549,2.73461591975533,3.37885282063621,2.12407514921592,3.0537699472376,3.7969654370145,1.86870118993604,4.38258552391974,2.9464597744035,2.56690210661684,5.0191971392934,5.56563143942632,1.83001733009694,2.79937157790139,1.45990578710964,1.45081103909765,2.21437940728108,2.21556296258367,4.19543287362317
"25",2.99960078680662,2.33746642799068,1.92459681214999,3.08008400815596,3.18694762093547,3.39072184153633,2.1672080186147,2.80957513956236,3.95497598785932,2.08708188438157,4.4033350287249,3.43364626916571,2.66626600554477,4.87124143059026,5.42635391579146,1.84779025227077,2.78489739025895,2.02946781560065,1.86360596659464,2.23158560772978,2.25897582479135,4.38729406669244
"26",3.0429336942856,2.41648895064411,1.37330118162733,3.20080281573169,2.80835445577925,3.29483670483636,2.19443259060047,2.74052100998391,3.8517366628916,2.00466312287241,4.43266276944369,3.43961777249848,2.68592795859052,4.8434527535814,5.6963204419358,1.7641464596003,2.78977535550118,1.68577253745265,1.84286033367526,2.19264297350086,2.20715722986618,4.32233191369293
"27",3.0513127049924,2.39868806367114,1.56633725165902,2.87383061099764,2.9127984165433,3.33860771680498,1.53672800499499,2.59998895788765,3.65659779744961,1.89029560208928,4.39083066596843,2.9796448687609,2.64939608543316,4.91333071197464,5.7361873662672,1.81826624553484,2.61140797723208,1.69411225127148,1.75154722309115,2.24739847000429,2.27443265705479,4.65151109528265
"28",3.08373705666842,2.37068779917791,1.46280607184313,2.96516508156416,2.89031585439663,3.29017866420086,1.80909020977077,2.9447346113583,3.53697617192982,1.89426315997948,4.37001453133923,3.37897124403761,2.69786624545371,5.03201463814118,5.69439508894608,1.87310408275887,3.00594062078623,1.55057937137781,1.49989344563185,2.34619503119601,2.27620723108285,4.26729284134447
"29",3.05199982225531,2.16714056391907,1.45796566820314,2.7620021003096,3.09533357278751,3.44916252452701,1.46481685764695,3.04620954169724,3.60415596751529,1.8896466431937,4.39206527059349,2.93423481389832,2.55961974123152,4.9816604641612,5.41261024880073,1.9166853402074,2.84079295718464,1.54771211390537,1.48949539751134,2.11993549859627,2.25118425635784,4.71836574468999
"30",2.95823593764472,2.31110815013924,1.93060251783374,3.54985340429633,3.04643950546563,3.3838255860029,1.9974700617949,2.84295598502605,3.44774582309234,2.00498094616242,4.4214221426783,3.08969090403644,2.61362727258655,5.01956406854455,5.24081429201272,1.7680507698978,2.69117036216485,1.6681152702589,1.73369680150705,2.0804374792452,2.29435585120628,4.82912532375015
