"","ARCA","CAHI","EROD","GITE","GOBE","GOPU","HAOD","HYGL","HYPO","MEDI","PEAI","PEDU","PLDE","POCA","POLE","PTGA","STPA","TRCY","TROR","VECY","VERO","WAAC","ACUL","ANTO","ARCO","AVBA","BRIB","BRPE","BUSE","CAER","CHEI","CHPS","DAGL","ECPL","ELSC","GONO","GRHUGE","MOMO","NIRO","OMCO","others","POMU","PTERO","PTEX","SCER","SCHOENUS","SEGL","SINO","SOOL","STFI","UNSP1","VUBR"
"PEAI",-5.90528242677824,-0.244403765690377,-0.0751046025104602,-0.1846059972106,-0.317329149232915,-0.628922594142259,-0.122175732217573,-0.762534867503487,-0.160146443514644,-0.509466527196653,NA,-0.220414923291492,-1.55461994421199,-2.57036262203626,-0.753678521617852,-1.32095536959554,-0.432304741980474,-0.438319386331939,-0.314853556485356,-0.274790794979079,-9.28471059972106,-0.437813807531381,-0.0528940027894003,-0.0101115760111576,-0.0234135285913529,-0.0054741980474198,-0.335425383542538,-0.0123082287308229,-0.0515516039051604,-0.726778242677824,-0.0816596931659693,-0.010965829846583,-0.0477859135285914,-0.028068340306834,-0.035407949790795,-0.00967573221757322,-0.0050557880055788,-0.0242852161785216,-0.00740934449093445,-0.00411436541143654,-0.0258716875871688,-0.498029986052999,-0.00421896792189679,-0.0324616457461646,-0.0636506276150628,-0.0160216178521618,-0.0054741980474198,-0.0377440725244073,-0.0140516039051604,-0.0177475592747559,-0.0101115760111576,-0.0478905160390516
"PEDU",-0.224023709902371,-0.00948396094839609,-0.00299860529986053,-0.00721757322175732,-0.0119246861924686,-0.0238668061366806,-0.00475941422594142,-0.0273012552301255,-0.00629358437935844,-0.0189504881450488,-0.220414923291492,NA,-0.0587517433751743,-0.0973152022315202,-0.0277196652719665,-0.0470013947001395,-0.0159693165969317,-0.0163877266387727,-0.0118549511854951,-0.0103207810320781,-0.35397489539749,-0.015428870292887,-0.00209205020920502,-0.000383542538354254,-5.23012552301255e-05,-0.000209205020920502,-0.012918410041841,-0.000488145048814505,-0.00202231520223152,-0.0262029288702929,-0.00317294281729428,-0.000418410041841004,-0.00184797768479777,-0.000906555090655509,-0.00134239888423989,-0.000400976290097629,-0.000191771269177127,-5.23012552301255e-05,-0.000296373779637378,-0.000174337517433752,-0.000836820083682008,-0.0191596931659693,-0.000156903765690377,-0.00123779637377964,-0.00184797768479777,-0.000610181311018131,-0.000209205020920502,-0.000610181311018131,-0.000557880055788006,-0.000732217573221757,-0.000383542538354254,-0.00183054393305439
"PLDE",-1.57057182705718,-0.0654463040446304,-0.0195083682008368,-0.0485529986052999,-0.0843619246861925,-0.16802649930265,-0.0323919107391911,-0.203539051603905,-0.042381450488145,-0.136122733612273,-1.55461994421199,-0.0587517433751743,NA,-0.683891213389121,-0.200226638772664,-0.351725941422594,-0.115428870292887,-0.1168410041841,-0.0840655509065551,-0.073047419804742,-2.47529637377964,-0.114783821478382,-0.0133891213389121,-0.00270223152022315,-0.00634588563458856,-0.00146443514644351,-0.0902545327754533,-0.00336471408647141,-0.0131101813110181,-0.193096234309623,-0.0214435146443515,-0.00292887029288703,-0.012221059972106,-0.00753138075313808,-0.00875174337517434,-0.00263249651324965,-0.00134239888423989,-0.00634588563458856,-0.00202231520223152,-0.00106345885634589,-0.00690376569037657,-0.133629707112971,-0.00094142259414226,-0.00864714086471409,-0.017241980474198,-0.00427126917712692,-0.00146443514644351,-0.0103382147838215,-0.00376569037656904,-0.00488145048814505,-0.0025278940027894,-0.0128138075313808
"POCA",-2.60805439330544,-0.10573570432357,-0.0312238493723849,-0.082897489539749,-0.133995815899582,-0.277196652719665,-0.05139470013947,-0.335146443514644,-0.0682531380753138,-0.224529288702929,-2.57036262203626,-0.0973152022315202,-0.683891213389121,NA,-0.329062064156206,-0.574651324965132,-0.186767782426778,-0.190010460251046,-0.138877266387727,-0.121495815899582,-4.10181311018131,-0.182932357043236,-0.0228556485355649,-0.00430613668061367,-0.010129009762901,-0.0022489539748954,-0.147384937238494,-0.00542189679218968,-0.0228207810320781,-0.315010460251046,-0.0355299860529986,-0.00432357043235704,-0.0207635983263598,-0.0125,-0.0146269177126918,-0.0044979079497908,-0.00135983263598326,-0.00995467224546722,-0.00319037656903766,-0.00205718270571827,-0.0107043235704324,-0.21786959553696,-0.00169107391910739,-0.0143654114365411,-0.0273884239888424,-0.00692119944211995,-0.00137726638772664,-0.0157775453277545,-0.00549163179916318,-0.00822873082287308,-0.00378312412831241,-0.0212691771269177
"POLE",-0.764295676429568,-0.0310495118549512,-0.00913528591352859,-0.0243898186889819,-0.0405160390516039,-0.0810843793584379,-0.015149930264993,-0.0961645746164575,-0.0191248256624826,-0.065986750348675,-0.753678521617852,-0.0277196652719665,-0.200226638772664,-0.329062064156206,NA,-0.170031380753138,-0.0529986052998605,-0.0559797768479777,-0.0407426778242678,-0.0357217573221757,-1.20359135285914,-0.0562587168758717,-0.00658995815899582,-0.00130753138075314,-0.00317294281729428,-0.000714783821478382,-0.0439330543933054,-0.00146443514644351,-0.00601464435146444,-0.0939330543933054,-0.0095536959553696,-0.00142956764295676,-0.00472454672245467,-0.00366108786610879,-0.00285913528591353,-0.00118549511854951,-0.000662482566248257,-0.00212691771269177,-0.00097629009762901,0.000261506276150628,-0.00345188284518828,-0.0652196652719665,-0.00054044630404463,-0.00421896792189679,-0.00864714086471409,-0.00207461645746165,-0.00054044630404463,-0.00486401673640167,-0.00191771269177127,-0.0024581589958159,-0.00130753138075314,-0.00624128312412831
"PTGA",-1.33955718270572,-0.0530334728033473,-0.0157775453277545,-0.0429741980474198,-0.0639121338912134,-0.138092747559275,-0.026534170153417,-0.169055090655509,-0.0339086471408647,-0.111680613668061,-1.32095536959554,-0.0470013947001395,-0.351725941422594,-0.574651324965132,-0.170031380753138,NA,-0.0934797768479777,-0.0972629009762901,-0.0713563458856346,-0.0622384937238494,-2.11368549511855,-0.0958333333333333,-0.0123256624825662,-0.00230125523012552,-0.0050557880055788,-0.000906555090655509,-0.0747384937238494,-0.0028765690376569,-0.0108960948396095,-0.162674337517434,-0.0175383542538354,-0.00249302649930265,-0.0098326359832636,-0.00625871687587169,-0.0080718270571827,-0.00223152022315202,-0.00115062761506276,-0.0050557880055788,-0.000854253835425384,-0.00106345885634589,-0.00517782426778243,-0.109850069735007,-0.000958856345885635,-0.00634588563458856,-0.0111750348675035,-0.00364365411436541,-0.000383542538354254,-0.0077928870292887,-0.0026673640167364,-0.00397489539748954,-0.00195258019525802,-0.0107740585774059
"STPA",-0.441248256624826,-0.0156555090655509,-0.00458507670850767,-0.0112970711297071,-0.0206938633193863,-0.0477336122733612,-0.00725244072524407,-0.0528591352859135,-0.0116980474198047,-0.0361576011157601,-0.432304741980474,-0.0159693165969317,-0.115428870292887,-0.186767782426778,-0.0529986052998605,-0.0934797768479777,NA,-0.0306834030683403,-0.023884239888424,-0.0202928870292887,-0.701307531380753,-0.029463040446304,-0.00278940027894003,-0.000767085076708508,-0.00186541143654114,-0.000418410041841004,-0.0254707112970711,-0.000958856345885635,-0.00352161785216179,-0.0483960948396095,-0.00510808926080893,-0.000836820083682008,-0.00177824267782427,0.000627615062761506,-0.00183054393305439,-0.000278940027894003,-3.48675034867504e-05,-0.00134239888423989,0.000645048814504881,-0.000348675034867503,-0.00115062761506276,-0.0329323570432357,-0.000313807531380753,-0.00195258019525802,-0.00176080892608089,-0.00122036262203626,0.000278940027894003,-0.00296373779637378,-0.000958856345885635,-0.000923988842398884,-0.000767085076708508,-0.00366108786610879
"TRCY",-0.444787308228731,-0.0183403068340307,-0.00542189679218968,-0.0117329149232915,-0.0195083682008368,-0.046234309623431,-0.00876917712691771,-0.0563633193863319,-0.0109309623430962,-0.0383716875871688,-0.438319386331939,-0.0163877266387727,-0.1168410041841,-0.190010460251046,-0.0559797768479777,-0.0972629009762901,-0.0306834030683403,NA,-0.0239191073919107,-0.0208856345885635,-0.701481868898187,-0.0287482566248257,-0.00362622036262204,-0.000767085076708508,-0.00149930264993026,-0.000418410041841004,-0.0255055788005579,-0.000610181311018131,-0.00332984658298466,-0.0519177126917713,-0.00594490934449093,-0.000836820083682008,-0.00367852161785216,-0.00214435146443515,-0.00233612273361227,-0.000278940027894003,-0.000383542538354254,-0.00184797768479777,-0.000575313807531381,-0.000348675034867503,-0.00132496513249651,-0.0381101813110181,-0.000313807531380753,-0.00176080892608089,-0.00453277545327755,-0.00122036262203626,-0.000418410041841004,-0.0029463040446304,-0.000767085076708508,-0.00144700139470014,-0.000592747559274756,-0.00364365411436541
"TROR",-0.318811018131102,-0.0134065550906555,-0.00423640167364017,-0.0102161785216179,-0.0173465829846583,-0.0339958158995816,-0.00672942817294282,-0.0408647140864714,-0.00871687587168759,-0.02778940027894,-0.314853556485356,-0.0118549511854951,-0.0840655509065551,-0.138877266387727,-0.0407426778242678,-0.0713563458856346,-0.023884239888424,-0.0239191073919107,NA,-0.0148535564853556,-0.500906555090656,-0.0238493723849372,-0.00296373779637378,-0.00054044630404463,-0.00132496513249651,-0.000296373779637378,-0.0182531380753138,-0.000156903765690377,-0.00285913528591353,-0.0397663877266388,-0.00448047419804742,-0.000592747559274756,-0.00244072524407252,-0.00151673640167364,-0.00174337517433752,-0.000575313807531381,-0.000278940027894003,-0.00132496513249651,-0.000400976290097629,-0.000244072524407252,-0.00142956764295676,-0.027092050209205,-0.000226638772663877,-0.00174337517433752,-0.00359135285913529,-0.000523012552301255,-0.000296373779637378,-0.00209205020920502,-0.000801952580195258,-0.00102859135285914,-0.00054044630404463,-0.0025976290097629
"VECY",-0.277423291492329,-0.0115411436541144,-0.00334728033472803,-0.00890864714086471,-0.0148012552301255,-0.0296722454672245,-0.00587517433751743,-0.0362796373779637,-0.00775801952580195,-0.0242503486750349,-0.274790794979079,-0.0103207810320781,-0.073047419804742,-0.121495815899582,-0.0357217573221757,-0.0622384937238494,-0.0202928870292887,-0.0208856345885635,-0.0148535564853556,NA,-0.437587168758717,-0.0209728033472803,-0.00258019525801953,-0.00047071129707113,-0.00115062761506276,-0.000261506276150628,-0.0159344490934449,-0.000592747559274756,-0.00249302649930265,-0.0343619246861925,-0.00390516039051604,-0.000523012552301255,-0.00228382147838215,-0.00132496513249651,-0.00167364016736402,-0.000488145048814505,-0.000244072524407252,-0.00115062761506276,-0.000348675034867503,-0.000226638772663877,-0.00125523012552301,-0.0236576011157601,-0.000191771269177127,-0.00153417015341702,-0.00313807531380753,-0.000749651324965132,-0.000261506276150628,-0.00183054393305439,-0.000697350069735007,-0.000889121338912134,-0.00047071129707113,-0.00226638772663877
"VERO",-9.39510111576011,-0.393793584379358,-0.123587866108787,-0.300366108786611,-0.507112970711297,-1.00113319386332,-0.196617852161785,-1.22027545327755,-0.260617154811715,-0.818357740585774,-9.28471059972106,-0.35397489539749,-2.47529637377964,-4.10181311018131,-1.20359135285914,-2.11368549511855,-0.701307531380753,-0.701481868898187,-0.500906555090656,-0.437587168758717,NA,-0.702039748953975,-0.0867677824267782,-0.0160913528591353,-0.0374651324965133,-0.00871687587168759,-0.535320781032078,-0.0201011157601116,-0.083036959553696,-1.16680613668061,-0.130439330543933,-0.0174163179916318,-0.0767085076708508,-0.0448919107391911,-0.0561192468619247,-0.016405160390516,-0.00803695955369596,-0.0381624825662483,-0.0118898186889819,-0.00667712691771269,-0.0415271966527197,-0.795641562064156,-0.00669456066945607,-0.0516039051603905,-0.103608786610879,-0.0254707112970711,-0.00871687587168759,-0.0616457461645746,-0.0234483960948396,-0.0301603905160391,-0.0160913528591353,-0.07639470013947
"WAAC",-0.444490934449093,-0.0180788005578801,-0.00371338912133891,-0.01389470013947,-0.0170153417015342,-0.0471582984658298,-0.00601464435146444,-0.0559449093444909,-0.00855997210599721,-0.0373430962343096,-0.437813807531381,-0.015428870292887,-0.114783821478382,-0.182932357043236,-0.0562587168758717,-0.0958333333333333,-0.029463040446304,-0.0287482566248257,-0.0238493723849372,-0.0209728033472803,-0.702039748953975,NA,-0.00383542538354254,-0.000767085076708508,-0.00047071129707113,-0.000418410041841004,-0.021792189679219,-0.000610181311018131,-0.00247559274755927,-0.0509588563458856,-0.00563110181311018,-0.000836820083682008,-0.00317294281729428,-0.00214435146443515,-0.00235355648535565,-0.000801952580195258,-0.000383542538354254,-0.000296373779637378,-0.000400976290097629,-0.000348675034867503,-0.00184797768479777,-0.0376046025104603,-0.000139470013947001,-0.00247559274755927,-0.00455020920502092,-0.00122036262203626,-0.000418410041841004,-0.00244072524407252,-0.000767085076708508,-0.00144700139470014,-0.000244072524407253,-0.00348675034867503
"ACUL",-0.052649930264993,-0.00198744769874477,-0.000732217573221757,0.000313807531380753,-0.00301603905160391,-0.00591004184100418,-0.00116806136680614,-0.00652022315202232,-0.00155160390516039,-0.00482914923291492,-0.0528940027894003,-0.00209205020920502,-0.0133891213389121,-0.0228556485355649,-0.00658995815899582,-0.0123256624825662,-0.00278940027894003,-0.00362622036262204,-0.00296373779637378,-0.00258019525801953,-0.0867677824267782,-0.00383542538354254,NA,-8.71687587168759e-05,-0.000226638772663877,-5.23012552301255e-05,-0.00317294281729428,-0.000122036262203626,-0.00050557880055788,-0.00690376569037657,-0.000784518828451883,-0.000104602510460251,-0.000453277545327755,-0.000261506276150628,-0.000331241283124128,0.000244072524407252,-5.23012552301255e-05,-0.000226638772663877,-6.97350069735007e-05,-3.48675034867503e-05,-0.000244072524407252,-0.0047071129707113,-3.48675034867503e-05,-0.000296373779637378,-0.000627615062761506,-0.000156903765690377,-5.23012552301255e-05,-0.000366108786610879,-0.000139470013947001,-0.000174337517433752,-8.71687587168759e-05,-0.000453277545327755
"ANTO",-0.00988493723849372,-0.000435843793584379,-0.000139470013947001,-0.000331241283124128,-0.000209205020920502,-0.000575313807531381,-0.000209205020920502,-0.00132496513249651,-0.000278940027894003,-0.000191771269177127,-0.0101115760111576,-0.000383542538354254,-0.00270223152022315,-0.00430613668061367,-0.00130753138075314,-0.00230125523012552,-0.000767085076708508,-0.000767085076708508,-0.00054044630404463,-0.00047071129707113,-0.0160913528591353,-0.000767085076708508,-8.71687587168759e-05,NA,-3.48675034867503e-05,-1.74337517433752e-05,-0.000592747559274756,-1.74337517433752e-05,-8.71687587168759e-05,-0.00127266387726639,-0.000139470013947001,-1.74337517433752e-05,-8.71687587168759e-05,-5.23012552301255e-05,-6.97350069735007e-05,-1.74337517433752e-05,-1.74337517433752e-05,-3.48675034867503e-05,-1.74337517433752e-05,0,0.000296373779637378,-0.000871687587168759,0,-5.23012552301255e-05,0.000749651324965132,-3.48675034867503e-05,-1.74337517433752e-05,0.000104602510460251,-1.74337517433752e-05,-3.48675034867503e-05,-1.74337517433752e-05,-8.71687587168759e-05
"ARCO",-0.0233437935843794,-0.00104602510460251,-0.000331241283124128,-0.000784518828451883,-0.00116806136680614,-0.00263249651324965,-0.000523012552301255,-0.00322524407252441,-0.000697350069735007,-0.00216178521617852,-0.0234135285913529,-5.23012552301255e-05,-0.00634588563458856,-0.010129009762901,-0.00317294281729428,-0.0050557880055788,-0.00186541143654114,-0.00149930264993026,-0.00132496513249651,-0.00115062761506276,-0.0374651324965133,-0.00047071129707113,-0.000226638772663877,-3.48675034867503e-05,NA,-1.74337517433752e-05,-0.00141213389121339,-5.23012552301255e-05,-0.000226638772663877,-0.0020397489539749,0,-5.23012552301255e-05,-0.000209205020920502,-0.000122036262203626,-0.000139470013947001,-5.23012552301255e-05,-1.74337517433752e-05,-0.000104602510460251,-3.48675034867503e-05,-1.74337517433752e-05,-0.000104602510460251,-0.0021094839609484,-1.74337517433752e-05,-0.000139470013947001,-0.000278940027894003,-6.97350069735007e-05,-1.74337517433752e-05,-0.000156903765690377,-6.97350069735007e-05,-8.71687587168759e-05,-3.48675034867503e-05,-0.000209205020920502
"AVBA",-0.00554393305439331,-0.000226638772663877,-6.97350069735007e-05,-0.000174337517433752,-0.000296373779637378,-0.000592747559274756,-0.000122036262203626,-0.000714783821478382,-0.000156903765690377,-0.000313807531380753,-0.0054741980474198,-0.000209205020920502,-0.00146443514644351,-0.0022489539748954,-0.000714783821478382,-0.000906555090655509,-0.000418410041841004,-0.000418410041841004,-0.000296373779637378,-0.000261506276150628,-0.00871687587168759,-0.000418410041841004,-5.23012552301255e-05,-1.74337517433752e-05,-1.74337517433752e-05,NA,-0.000313807531380753,-1.74337517433752e-05,-5.23012552301255e-05,-0.000697350069735007,-6.97350069735007e-05,-1.74337517433752e-05,-5.23012552301255e-05,-3.48675034867503e-05,-3.48675034867503e-05,-1.74337517433752e-05,0,0.000331241283124128,0,0,-1.74337517433752e-05,-0.00047071129707113,0,-3.48675034867503e-05,-6.97350069735007e-05,-1.74337517433752e-05,0,0.000488145048814505,-1.74337517433752e-05,-1.74337517433752e-05,-1.74337517433752e-05,-5.23012552301255e-05
